AGRF_ID,Mouse_ID,Strain,Age ,Gender,Tissue,Timepoint,Group,Treatment,RIN,RNA conc,RNA conc diluted,OD260:280,OD260:230
AB27,233,balb/c,8-9wks,f,AB1,d2,RS,aCTLA-4 + aPDL-1,,844.4,200ng/ul,2.03,1.8
AB28,225,balb/c,8-9wks,f,AB1,d2,NR,aCTLA-4 + aPDL-1,,2420,200ng/ul,2.02,2.27
AB29,411,balb/c,8-9wks,f,AB1,d4,RS,aCTLA-4 + aPDL-1,,2533.8,200ng/ul,2,2.28
AB30,418,balb/c,8-9wks,f,AB1,d4,NR,aCTLA-4 + aPDL-1,,3298.4,200ng/ul,1.98,2.22
AB31,611,balb/c,8-9wks,f,AB1,d6,RS,aCTLA-4 + aPDL-1,,479.9,200ng/ul,2,2.04
AB32,638,balb/c,8-9wks,f,AB1,d6,NR,aCTLA-4 + aPDL-1,,2543.5,200ng/ul,2.04,2.08
AB33,022,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,3904.2,200ng/ul,1.96,2.14
AB34,025,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,915.4,200ng/ul,2.05,2.15
AB35,234,balb/c,8-9wks,f,AB1,d2,RS,aCTLA-4 + aPDL-1,,1809.3,200ng/ul,2.03,2.35
AB36,226,balb/c,8-9wks,f,AB1,d2,NR,aCTLA-4 + aPDL-1,,3025.6,200ng/ul,2.03,2.1
AB37,423,balb/c,8-9wks,f,AB1,d4,RS,aCTLA-4 + aPDL-1,,998,200ng/ul,2.02,2.03
AB38,430,balb/c,8-9wks,f,AB1,d4,NR,aCTLA-4 + aPDL-1,,3078.1,200ng/ul,2,2.22
AB39,623,balb/c,8-9wks,f,AB1,d6,RS,aCTLA-4 + aPDL-1,,350.1,200ng/ul,2.03,2.01
AB40,640,balb/c,8-9wks,f,AB1,d6,NR,aCTLA-4 + aPDL-1,,14097.7,200ng/ul,1.96,2.14
AB41,024,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,2586.8,200ng/ul,1.99,2.24
AB42,038,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,1443.5,200ng/ul,2.04,2.02
AB43,235,balb/c,8-9wks,f,AB1,d2,RS,aCTLA-4 + aPDL-1,,988,200ng/ul,2.16,2.65
AB44,227,balb/c,8-9wks,f,AB1,d2,NR,aCTLA-4 + aPDL-1,,1474.7,200ng/ul,2.03,2.25
AB45,424,balb/c,8-9wks,f,AB1,d4,RS,aCTLA-4 + aPDL-1,,1438.8,200ng/ul,2.02,2.13
AB46,435,balb/c,8-9wks,f,AB1,d4,NR,aCTLA-4 + aPDL-1,,9316.2,200ng/ul,2,2.24
AB47,649,balb/c,8-9wks,f,AB1,d6,RS,aCTLA-4 + aPDL-1,,930.1,200ng/ul,1.9,1.51
AB48,641,balb/c,8-9wks,f,AB1,d6,NR,aCTLA-4 + aPDL-1,,13477.6,200ng/ul,1.98,2.17
AB49,027,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,2810.8,200ng/ul,2.03,2.23
AB50,041,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,354.8,200ng/ul,2.03,1.97
AB51,237,balb/c,8-9wks,f,AB1,d2,RS,aCTLA-4 + aPDL-1,,758.5,200ng/ul,2.08,2.38
AB52,229,balb/c,8-9wks,f,AB1,d2,NR,aCTLA-4 + aPDL-1,,3116.6,200ng/ul,2.02,2.21
AB53,426,balb/c,8-9wks,f,AB1,d4,RS,aCTLA-4 + aPDL-1,,1211.6,200ng/ul,2.04,2.24
AB54,449,balb/c,8-9wks,f,AB1,d4,NR,aCTLA-4 + aPDL-1,,12103.3,200ng/ul,2,2.21
AB55,653,balb/c,8-9wks,f,AB1,d6,RS,aCTLA-4 + aPDL-1,,1530.1,200ng/ul,2.04,2.24
AB56,654,balb/c,8-9wks,f,AB1,d6,NR,aCTLA-4 + aPDL-1,,3660.4,200ng/ul,2.01,2.15
AB57,030,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,1612.1,200ng/ul,2.03,2.18
AB58,047,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,1728.5,200ng/ul,2.04,2.22
AB59,239,balb/c,8-9wks,f,AB1,d2,RS,aCTLA-4 + aPDL-1,,724.6,200ng/ul,2.02,2.05
AB60,232,balb/c,8-9wks,f,AB1,d2,NR,aCTLA-4 + aPDL-1,,1352.7,200ng/ul,2.01,2.15
AB61,453,balb/c,8-9wks,f,AB1,d4,RS,aCTLA-4 + aPDL-1,,2366.3,200ng/ul,2.01,2.27
AB62,450,balb/c,8-9wks,f,AB1,d4,NR,aCTLA-4 + aPDL-1,,451.3,200ng/ul,2.01,1.84
AB63,655,balb/c,8-9wks,f,AB1,d6,RS,aCTLA-4 + aPDL-1,,1283.3,200ng/ul,2.01,2
AB64,656,balb/c,8-9wks,f,AB1,d6,NR,aCTLA-4 + aPDL-1,,3738.3,200ng/ul,1.98,2.16
AB65,035,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,1691,200ng/ul,2.03,2.35
AB66,049,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,474.4,200ng/ul,2.01,2.03
AB67,037,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,2073.4,200ng/ul,2.03,2.25
AB68,050,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,1581.9,200ng/ul,2.02,2.1
AB69,044,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,1462.4,200ng/ul,2.03,2.22
AB70,053,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,214.9,200ng/ul,1.98,2.04
AB71,059,balb/c,8-9wks,f,AB1,d0,RS,aCTLA-4 + aPDL-1,,792,200ng/ul,1.99,2.04
AB72,057,balb/c,8-9wks,f,AB1,d0,NR,aCTLA-4 + aPDL-1,,573.2,200ng/ul,2.01,1.51
